tag,short_label,definition
text,Text,"Primarily text-in/text-out general language modeling."
chat_app,Chat UI,"Consumer-facing chat experience (ChatGPT/Claude/etc.)."
api,API,"Programmatic API availability emphasized."
vision_in,Vision input,"Accepts images/screenshots as input."
image_out,Image output,"Generates images as output."
audio_in,Audio input,"Accepts speech/audio as input."
audio_out,Audio output,"Produces speech/audio as output."
video_out,Video output,"Generates video as output."
multimodal,Multimodal,"Multiple modalities (e.g., text+vision and/or audio) in the same model/product."
tool_use,Tool use,"Calls external tools/APIs (function calling, tools, plugins)."
computer_use,Computer use,"Controls a computer UI (click/type/observe) as an action space."
agents,Agents,"Multi-step task completion/orchestration; may include planning and tool use."
reasoning,Reasoning,"Explicitly positioned as better at multi-step reasoning/harder problems."
long_context,Long context,"Much larger context window than earlier generations (e.g., 100k+ tokens)."
open_weights,Open weights,"Model weights released publicly (or broadly downloadable)."
moe,MoE,"Mixture-of-Experts architecture."
frontier,Frontier,"Flagship / top-tier model release for the org (not necessarily open weights)."
edge,Edge/on-device,"Designed to run on-device or on constrained hardware."
robotics,Robotics,"Targets physical-world/robot control or robotics benchmarks."
